"Including FPT and FPT description","包括固定产品税及其描述"
"Including Tax","含税"
"Including and Excluding Tax","包含和不包含税"
"Invalid file format upload attempt","文件格式无效的上传企图"
"Invalid file upload attempt","文件无效的上传企图"
"Manage Customer Tax Classes","管理客户税类"
"Manage Product Tax Classes","管理产品税类"
"Manage Tax Rates","管理税率"
"Manage Tax Rules","管理税务规则"
"Manage Tax Zones & Rates","管理税务地区和税率"
"Name","名称"
"New Class","新类"
"New Rule","新规则"
"New Tax Rate","新税率"
"No","否"
"None","无"
"One of the country has invalid code.","其中一个国家代码无效。"
"Orders, Invoices, Credit Memos Display Settings","订单、发票、信用记录显示设置"
"Original price only","仅原价"
"Price Display Settings","价格显示设置"
"Priority","优先级"
"Product Tax Class","产品税类"
"Product Tax Class Information","产品税类信息"
"Product Tax Classes","产品税类"
"Range From","范围从"
"Range To","范围到"
"Rate","费率"
"Rate Percent","税率百分率"
"Reset","重置状态"
"Row Total","行总计"
"Subtotal only","仅小计"
"Sales","销售"
"Save Class","保存类"
"Save Rate","保存税率"
"Save Rule","保存规则"
"Save and Continue Edit","保存并继续编辑"
"Shipping & Handling (Excl.Tax)","运费和手续费（不含税）"
"Shipping & Handling (Incl.Tax)","运费和手续费（含税）"
"Shipping & Handling Tax","处理、运送及税金费用"
"Shipping (Excl. Tax)","运费（不含税）"
"Shipping (Incl. Tax)","运费（含税）"
"Shipping Excl. Tax (%s)","运费不含税（%s）"
"Shipping Incl. Tax (%s)","运费含税（%s）"
"Shipping Prices","运费"
"Shopping Cart Display Settings","购物车显示设置"
"Sort Order","排列顺序"
"State","州/省"
"State/Region","州/地区"
"Subtotal (Excl. Tax)","小计（不含税）"
"Subtotal (Excl.Tax)","小计（不含税）"
"Subtotal (Incl. Tax)","小计（含税）"
"Subtotal (Incl.Tax)","小计（含税）"
"Tax","税务"
"Tax Calculation Based On","税金计算的基础"
"Tax Calculation Method Based On","计税方法的基础"
"Tax Class for Shipping","运费的税类"
"Tax Classes","税类"
"Tax Identifier","税务识别符"
"Tax Rate","税率"
"Tax Rate Information","税率信息"
"Tax Rule Information","税务规则信息"
"Tax Rules","税务规则"
"Tax Section","纳税项"
"Tax Titles","税务标题"
"Tax rate cannot be removed. It exists in tax rule","税率不能被删除。它存在于税务规则中。"
"Tax rates at the same priority are added, others are compounded.","相同优先级的税率相加，否则复合。"
"The tax class has been deleted.","该税务类型已被删除。"
"The tax class has been saved.","该税务类型已保存。"
"The tax rate has been deleted.","该税率已被删除。"
"The tax rate has been imported.","该税率已被导入。"
"The tax rate has been saved.","该税率已保存。"
"The tax rule has been deleted.","该税务规则已被删除。"
"The tax rule has been saved.","该税务规则已保存。"
"This class no longer exists","此类型不再存在。"
"This rule no longer exists","该规则不存在。"
"This rule no longer exists.","该规则已不存在。"
"Total","总计"
"Unit Price","单价"
"Whether catalog prices entered by admin include tax.","管理员输入的目录价格是否含税。"
"Whether shipping amounts entered by admin or obtained from gateways include tax.","管理员输入或从网关获取的运费是否含税。"
"Yes","是"
"You cannot delete this tax class as it is used for %d customer groups.","无法删除此税务类型，它使用于％d个客户组中。"
"You cannot delete this tax class as it is used for %d products.","无法删除此税务类型，它使用于%d个产品中。"
"You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first.","无法删除此税务类型，它在税务规则中被使用。若要删除请先删除对应的规则。"
"Zip/Post Code","邮政编码"
"Zip/Post is Range","邮编为范围"
